FastCPU	871829428400	36	[500000000000, 750000000000, 875000000000, 812500000000, 843750000000, 859375000000, 867187500000, 871093750000, 873046875000, 872070312500, 871582031250, 871826171875, 871948242187, 871887207031, 871856689453, 871841430664, 871833801269, 871829986572, 871828079223, 871829032897, 871829509734, 871829271315, 871829390524, 871829450129, 871829420326, 871829435227, 871829427776, 871829431501, 871829429638, 871829428707, 871829428241, 871829428474, 871829428357, 871829428415, 871829428386, 871829428400]	2025-03-17	19:00:38
FastCPU	292545572682	39	[500000000000, 249999999999, 374999999999, 312499999999, 281249999999, 296874999999, 289062499999, 292968749999, 291015624999, 291992187499, 292480468749, 292724609374, 292602539061, 292541503905, 292572021483, 292556762694, 292549133299, 292545318602, 292547225950, 292546272276, 292545795439, 292545557020, 292545676229, 292545616624, 292545586822, 292545571921, 292545579371, 292545575646, 292545573783, 292545572852, 292545572386, 292545572619, 292545572735, 292545572677, 292545572706, 292545572691, 292545572684, 292545572680, 292545572682]	2025-03-17	19:00:45
Human	2	3	[5, 3, 2]	2025-03-17	19:03:41
CPU	10	11	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]	2025-03-17	19:04:18
CPU	4	5	[0, 1, 2, 3, 4]	2025-03-17	19:04:42
CPU	1	2	[0, 1]	2025-03-17	19:14:37
